Group,Q1,Q2,Q3,Q3_3_TEXT,Q4,Q5,Q6,Q26,Q27,Q8_1,Q8_2,Q9_1,Q9_2,Q21_1,Q21_2,Q22_1,Q22_2,Q25_1,Q25_2,Q14_1
,Write your participant ID here,How old are you?,What is your gender? - Selected Choice,What is your gender? - Other - Text,What is your ethnicity?,What is your primary (first) language?,"If your primary (first) language is not English, for how many years have you been speaking English?",Have you ever taken a CPR class before?,"If ""yes,"" when was your last CPR class?",Training Course - I found the training course helpful,Training Course - I did not find the training course helpful,Self-Practice - I found the self-practice helpful,Self-Practice - I did not find the self-practice helpful,Virtual Trainer - I found the virtual trainer helpful,Virtual Trainer - I did not find the virtual trainer helpful,Audio Feedback - I found the audio feedback helpful,Audio Feedback - I did not find the audio feedback helpful,Confidence - I feel confident that I could perform CPR in an emergency,Confidence - I do not feel confident that I could perform CPR in an emergency,How likely are you to recommend the training system to a friend?
2,2,25,Female,,african american,english,,No,,5.418,3.629,9.559,9.676,3.474,7.634,4.094,6.15,3.052,6.784,3.221
2,5,26,Female,,white,Persian,three years,No,,6.521,0,8.634,0,6.366,0.239,8.62,0.394,8.479,0,7.944
2,8,23,Female,,Asian,Hindi,18,No,,10,4.986,10,0,10,0,10,0,7.155,5.127,10
2,11,28,Male,,Hispanic/Latino,Spanish/English,Since I have been able to speak,No,N/A,10,0,10,0,8.634,1.282,8.197,0.789,7.549,1.338,9.676
2,12,25,Male,,White,English,,Yes,2002,6.479,3.606,7.085,2.366,6.803,2.423,6.225,3.437,6.718,2.873,3.211
2,15,21,Female,,Asian,Chinese ,10,No,,6.366,1.958,7.648,1.338,7.944,1.07,8.592,0.634,6.958,2.944,6.211
2,17,20,Female,,Vietnamese,English,N/A,No,N/A,7.746,1.69,9.62,0.592,10,0.155,7.648,1.239,5.873,3.451,9.62
2,20,25,Female,,latino,english,,Yes,2011,8.155,0.634,10,0,8.986,0.338,9.775,0.155,8.38,0.732,8.634
2,23,24,Female,,Asian,Chinese,15 years,Yes,6 years ago,9.662,0.408,8.141,1.676,10,0.014,9.958,0.056,6.986,2.225,9.662
