Group,PID,Trial,Total,Correct,AvgDepth,AvgRecoil,AvgRate,NumBadDepth,NumBadRecoil,NumBadRate,GoodDepth,GoodRecoil,GoodRate,GoodDepthRecoil,GoodDepthRate,GoodRecoilRate
3,3,1,203,0.862068966,-2.859994177,0.013320812,102.1242319,0,0,28,1,1,0.862068966,1,0.862068966,0.862068966
3,3,2,232,0.905172414,-3.510796122,0.305113869,115.8977863,0,0,22,1,1,0.905172414,1,0.905172414,0.905172414
3,3,3,246,0.62195122,-3.456069172,0.099538739,122.8901882,0,0,93,1,1,0.62195122,1,0.62195122,0.62195122
1,4,1,174,0.040229885,-2.451266408,-0.1831213,85.00470043,3,43,166,0.982758621,0.752873563,0.045977011,0.735632184,0.045977011,0.040229885
1,4,2,165,0.006060606,-2.278425607,-0.06340095,83.42724647,25,38,164,0.848484848,0.76969697,0.006060606,0.618181818,0.006060606,0.006060606
1,4,3,164,0.018292683,-2.607880221,-0.521190115,80.48211068,0,135,161,1,0.176829268,0.018292683,0.176829268,0.018292683,0.018292683
2,5,1,167,0,-1.215526105,-0.000990438,92.04761356,167,17,106,0,0.898203593,0.365269461,0,0,0.341317365
2,5,2,243,0.008230453,-1.637092831,-0.309696983,126.9899443,212,120,180,0.127572016,0.50617284,0.259259259,0.012345679,0.053497942,0.144032922
2,5,3,180,0,-1.737817149,-0.220447069,116.9329051,150,56,113,0.166666667,0.688888889,0.372222222,0.05,0.05,0.288888889
3,6,1,179,0.173184358,-2.129145106,-0.215048875,90.4127033,40,54,123,0.776536313,0.698324022,0.312849162,0.480446927,0.312849162,0.173184358
3,6,2,208,0.855769231,-2.324037947,-0.069958986,103.0196236,6,6,21,0.971153846,0.971153846,0.899038462,0.942307692,0.884615385,0.870192308
3,6,3,122,0.93442623,-2.570279585,-0.117138345,105.8652732,0,5,4,1,0.959016393,0.967213115,0.959016393,0.967213115,0.93442623
1,7,1,131,0,-3.153314366,-0.347532761,66.09386085,1,76,130,0.992366412,0.419847328,0.007633588,0.419847328,0,0
1,7,2,167,0,-2.404414439,-0.474354476,100.388581,33,152,166,0.80239521,0.089820359,0.005988024,0.089820359,0.005988024,0
1,7,3,169,0,-2.721312768,-0.302978703,86.39558647,7,90,169,0.958579882,0.467455621,0,0.467455621,0,0
