PID, Trial, Total, Correct, AvgDepth, AvgRecoil, AvgRate
10,1,256,34,-2.71685254838,-0.473437406695,129.169292482
10,2,268,1,-2.80592373991,-0.969561791412,134.876030531
10,3,275,1,-2.76067439219,-0.969854968839,137.73087854
11,1,197,14,-2.18907334792,-0.414840103486,97.0660386547
11,2,201,112,-2.34035092642,-0.21559843264,101.439307806
11,3,211,122,-2.29932336022,-0.216941983629,103.047155469
12,1,149,75,-2.99426985305,-0.217015242187,109.054639809
12,2,213,167,-2.74233480025,-0.1408372819,108.516334345
12,3,228,226,-2.33289545544,0.0277266147351,113.614294074
13,1,207,189,-3.08486407297,0.0336621385191,103.455616732
13,2,218,198,-2.88103566292,-0.0816918331964,108.59027177
13,3,218,214,-2.78565678682,-0.0165014875621,106.756363173
14,1,205,179,-2.60262771696,0.0999447653001,101.884231963
14,2,212,207,-2.81129253617,-0.0282152201777,106.997990774
14,3,222,217,-2.5013240064,0.0927727843678,111.916092639
15,1,244,179,-3.00645749037,-0.0804125328231,121.3294805
15,2,222,126,-2.12110121039,0.16434574602,112.829085154
15,3,236,198,-2.19637896431,0.0521078552279,116.472896387
1,1,121,0,-2.07271894931,0.201561242414,59.7520661157
1,2,125,0,-2.13307859244,0.227860305867,60.0
1,3,121,0,-2.38320128398,0.00636334243371,60.0
2,1,120,0,-2.5618115393,0.579112986191,59.75
2,2,122,0,-2.51583313409,0.701339279349,59.7540983607
2,3,118,0,-2.32673761552,0.489802273175,59.7457627119
3,1,119,0,-2.85999417743,0.0133208122775,60.0
3,2,121,0,-3.51079612211,0.305113869168,60.0
3,3,121,0,-3.45606917244,0.0995387393311,60.0
4,1,124,0,-2.45126640789,-0.183121299511,60.0
4,2,119,0,-2.27842560723,-0.0634009503151,60.0
4,3,123,0,-2.60788022075,-0.521190115226,60.0
5,1,124,0,-1.08645699002,-0.000990438197033,60.0
5,2,119,0,-1.61552239217,-0.309696982827,60.0
5,3,118,0,-1.71199044029,1.8216549196,59.1101694915
6,1,119,0,-2.12914510648,-0.215048874552,59.6638655462
6,2,121,0,-2.32403794665,-0.0699589856543,60.0
6,3,117,0,-3.15743001863,-0.223121041592,58.8034188034
7,1,131,0,-3.15331436557,-0.347532760579,66.0938608485
7,2,167,0,-2.40441443898,-0.474354476164,100.388580985
7,3,169,0,-2.7213127684,-0.302978702834,86.3955864713
8,1,145,70,-2.47795570097,0.0103229801204,84.3462609034
8,2,207,147,-2.90189830815,-0.0517579919058,113.555140746
8,3,207,77,-2.89825566172,1.92073710193,115.442846111
9,1,161,12,-2.32113958083,-0.207207011237,83.2654343951
9,2,212,154,-2.06214957537,-0.058377011998,106.520368219
9,3,208,154,-2.08535572717,-0.0812613467278,104.928790423
