NID,FID,Group,GestureF,IncorrectF,CorrectF,RatioF,RID,GestureR,IncorrectR,CorrectR,RatioR,IncorrectT,CorrectT,RatioT,,
7,828222358,Glissando,DF,1,5,0.833333333,904233425,DF,8,5,0.384615385,9,10,0.526315789,,
7,828222548,Glissando,FD,0,5,1,904233712,FD,0,5,1,0,10,1,,
7,828221945,Glissando,FL,0,5,1,904233155,FL,0,5,1,0,10,1,,
7,828222458,Glissando,FR,0,5,1,904233626,FR,0,5,1,0,10,1,,
7,828222222,Glissando,FU,0,5,1,904233339,FU,0,5,1,0,10,1,,
7,828222358,Glissando,ALL,1,25,0.961538462,904233425,ALL,8,25,0.757575758,9,50,0.847457627,,
8,828224215,Control,DF,0,5,1,904235459,DF,8,5,0.384615385,0,10,1,,
8,828224803,Control,FD,1,5,0.833333333,904235813,FD,4,5,0.555555556,5,10,0.666666667,,
8,828224459,Control,FL,0,5,1,904235225,FL,0,5,1,1,10,0.909090909,,
8,828224711,Control,FR,0,5,1,904235726,FR,0,5,1,0,10,1,,
8,828224620,Control,FU,0,5,1,904235404,FU,1,5,0.833333333,8,10,0.555555556,,
8,828224215,Control,ALL,1,25,0.961538462,904235459,ALL,13,25,0.657894737,14,50,0.78125,,
9,828233757,Glissando,DF,0,5,1,904232131,DF,0,5,1,0,10,1,,
9,828233956,Glissando,FD,1,5,0.833333333,904232325,FD,0,5,1,1,10,0.909090909,,
9,828233427,Glissando,FL,0,5,1,904231909,FL,0,5,1,0,10,1,,
9,828233855,Glissando,FR,2,5,0.714285714,904232235,FR,1,5,0.833333333,3,10,0.769230769,,
9,828233702,Glissando,FU,0,5,1,904232036,FU,0,5,1,0,10,1,,
9,828233757,Glissando,ALL,3,25,0.892857143,904232131,ALL,1,25,0.961538462,4,50,0.925925926,,
10,829000540,Control,DF,0,5,1,905015939,DF,1,5,0.833333333,1,10,0.909090909,,
10,829000724,Control,FD,0,5,1,905020110,FD,0,5,1,0,10,1,,
10,829000217,Control,FL,1,5,0.833333333,905015701,FL,1,5,0.833333333,2,10,0.833333333,,
10,829000638,Control,FR,0,5,1,905020029,FR,0,5,1,0,10,1,,
10,829000427,Control,FU,2,5,0.714285714,905015853,FU,0,5,1,2,10,0.833333333,,
10,829000540,Control,ALL,3,25,0.892857143,905015939,ALL,2,25,0.925925926,5,50,0.909090909,,
11,829002529,Glissando,DF,1,5,0.833333333,905003434,DF,0,5,1,2,10,0.833333333,,
11,829002629,Glissando,FD,0,5,1,905003639,FD,1,5,0.833333333,1,10,0.909090909,,
11,829002156,Glissando,FL,0,5,1,905003224,FL,1,5,0.833333333,1,10,0.909090909,,
11,829002328,Glissando,FR,0,5,1,905003538,FR,1,5,0.833333333,1,10,0.909090909,,
11,829002429,Glissando,FU,0,5,1,905003328,FU,1,5,0.833333333,0,10,1,,
11,829002529,Glissando,ALL,1,25,0.961538462,905003434,ALL,4,25,0.862068966,5,50,0.909090909,,
12,829003804,Control,DF,0,5,1,905004427,DF,0,5,1,0,10,1,,
12,829003952,Control,FD,0,5,1,905004614,FD,0,5,1,0,10,1,,
12,829003512,Control,FL,2,5,0.714285714,905004250,FL,0,5,1,2,10,0.833333333,,
12,829003900,Control,FR,0,5,1,905004518,FR,2,5,0.714285714,2,10,0.833333333,,
12,829003654,Control,FU,0,5,1,905004341,FU,0,5,1,0,10,1,,
12,829003804,Control,ALL,2,25,0.925925926,905004427,ALL,2,25,0.925925926,4,50,0.925925926,,
13,829005719,Glissando,DF,2,5,0.714285714,903004319,DF,7,5,0.416666667,9,10,0.526315789,,
13,829005918,Glissando,FD,2,5,0.714285714,903004546,FD,0,5,1,2,10,0.833333333,,
13,829005450,Glissando,FL,2,5,0.714285714,903004002,FL,7,5,0.416666667,9,10,0.526315789,,
13,829005831,Glissando,FR,0,5,1,903004453,FR,0,5,1,0,10,1,,
13,829005631,Glissando,FU,0,5,1,903004230,FU,0,5,1,0,10,1,,
13,829005719,Glissando,ALL,6,25,0.806451613,903004319,ALL,14,25,0.641025641,20,50,0.714285714,,
14,829013346,Control,DF,0,5,1,904222818,DF,4,5,0.555555556,4,10,0.714285714,,
14,829013541,Control,FD,0,5,1,904223254,FD,1,5,0.833333333,1,10,0.909090909,,
14,829013000,Control,FL,0,5,1,904222535,FL,0,5,1,0,10,1,,
14,829013446,Control,FR,0,5,1,904223203,FR,0,5,1,0,10,1,,
14,829013230,Control,FU,0,5,1,904222724,FU,0,5,1,0,10,1,,
14,829013346,Control,ALL,0,25,1,904222818,ALL,5,25,0.833333333,5,50,0.909090909,,
15,829021228,Glissando,DF,0,5,1,904005726,DF,0,5,1,0,10,1,,
15,829021438,Glissando,FD,0,5,1,904005851,FD,0,5,1,0,10,1,,
15,829020757,Glissando,FL,0,5,1,904005455,FL,1,5,0.833333333,1,10,0.909090909,,
15,829021340,Glissando,FR,1,5,0.833333333,904005811,FR,0,5,1,1,10,0.909090909,,
15,829021128,Glissando,FU,0,5,1,904005642,FU,0,5,1,0,10,1,,
