Participant,FirstID,Condition,GestureF,IncorrectF,CorrectF,ErrorRateF,ReturnID,GestureR,IncorrectR,CorrectR,ErrorRateR,IncorrectT,CorrectT,ErrorRateT,,
7,828222358,Glissando,DoubleFlip,1,5,0.166666667,904233425,DoubleFlip,8,5,0.615384615,9,10,0.473684211,,
7,828222548,Glissando,FlickDown,0,5,0,904233712,FlickDown,0,5,0,0,10,0,,
7,828221945,Glissando,FlickLeft,0,5,0,904233155,FlickLeft,0,5,0,0,10,0,,
7,828222458,Glissando,FlickRight,0,5,0,904233626,FlickRight,0,5,0,0,10,0,,
7,828222222,Glissando,FlickUp,0,5,0,904233339,FlickUp,0,5,0,0,10,0,,
7,828222358,Glissando,ALL,1,25,0.038461538,904233425,ALL,8,25,0.242424242,9,50,0.152542373,,
8,828224215,Control,DoubleFlip,0,5,0,904235459,DoubleFlip,8,5,0.615384615,0,10,0,,
8,828224803,Control,FlickDown,1,5,0.166666667,904235813,FlickDown,4,5,0.444444444,5,10,0.333333333,,
8,828224459,Control,FlickLeft,0,5,0,904235225,FlickLeft,0,5,0,1,10,0.090909091,,
8,828224711,Control,FlickRight,0,5,0,904235726,FlickRight,0,5,0,0,10,0,,
8,828224620,Control,FlickUp,0,5,0,904235404,FlickUp,1,5,0.166666667,8,10,0.444444444,,
8,828224215,Control,ALL,1,25,0.038461538,904235459,ALL,13,25,0.342105263,14,50,0.21875,,
9,828233757,Glissando,DoubleFlip,0,5,0,904232131,DoubleFlip,0,5,0,0,10,0,,
9,828233956,Glissando,FlickDown,1,5,0.166666667,904232325,FlickDown,0,5,0,1,10,0.090909091,,
9,828233427,Glissando,FlickLeft,0,5,0,904231909,FlickLeft,0,5,0,0,10,0,,
9,828233855,Glissando,FlickRight,2,5,0.285714286,904232235,FlickRight,1,5,0.166666667,3,10,0.230769231,,
9,828233702,Glissando,FlickUp,0,5,0,904232036,FlickUp,0,5,0,0,10,0,,
9,828233757,Glissando,ALL,3,25,0.107142857,904232131,ALL,1,25,0.038461538,4,50,0.074074074,,
10,829000540,Control,DoubleFlip,0,5,0,905015939,DoubleFlip,1,5,0.166666667,1,10,0.090909091,,
10,829000724,Control,FlickDown,0,5,0,905020110,FlickDown,0,5,0,0,10,0,,
10,829000217,Control,FlickLeft,1,5,0.166666667,905015701,FlickLeft,1,5,0.166666667,2,10,0.166666667,,
10,829000638,Control,FlickRight,0,5,0,905020029,FlickRight,0,5,0,0,10,0,,
10,829000427,Control,FlickUp,2,5,0.285714286,905015853,FlickUp,0,5,0,2,10,0.166666667,,
10,829000540,Control,ALL,3,25,0.107142857,905015939,ALL,2,25,0.074074074,5,50,0.090909091,,
11,829002529,Glissando,DoubleFlip,1,5,0.166666667,905003434,DoubleFlip,0,5,0,2,10,0.166666667,,
11,829002629,Glissando,FlickDown,0,5,0,905003639,FlickDown,1,5,0.166666667,1,10,0.090909091,,
11,829002156,Glissando,FlickLeft,0,5,0,905003224,FlickLeft,1,5,0.166666667,1,10,0.090909091,,
11,829002328,Glissando,FlickRight,0,5,0,905003538,FlickRight,1,5,0.166666667,1,10,0.090909091,,
11,829002429,Glissando,FlickUp,0,5,0,905003328,FlickUp,1,5,0.166666667,0,10,0,,
11,829002529,Glissando,ALL,1,25,0.038461538,905003434,ALL,4,25,0.137931034,5,50,0.090909091,,
12,829003804,Control,DoubleFlip,0,5,0,905004427,DoubleFlip,0,5,0,0,10,0,,
12,829003952,Control,FlickDown,0,5,0,905004614,FlickDown,0,5,0,0,10,0,,
12,829003512,Control,FlickLeft,2,5,0.285714286,905004250,FlickLeft,0,5,0,2,10,0.166666667,,
12,829003900,Control,FlickRight,0,5,0,905004518,FlickRight,2,5,0.285714286,2,10,0.166666667,,
12,829003654,Control,FlickUp,0,5,0,905004341,FlickUp,0,5,0,0,10,0,,
12,829003804,Control,ALL,2,25,0.074074074,905004427,ALL,2,25,0.074074074,4,50,0.074074074,,
13,829005719,Glissando,DoubleFlip,2,5,0.285714286,903004319,DoubleFlip,7,5,0.583333333,9,10,0.473684211,,
13,829005918,Glissando,FlickDown,2,5,0.285714286,903004546,FlickDown,0,5,0,2,10,0.166666667,,
13,829005450,Glissando,FlickLeft,2,5,0.285714286,903004002,FlickLeft,7,5,0.583333333,9,10,0.473684211,,
13,829005831,Glissando,FlickRight,0,5,0,903004453,FlickRight,0,5,0,0,10,0,,
13,829005631,Glissando,FlickUp,0,5,0,903004230,FlickUp,0,5,0,0,10,0,,
