NID,PID,Age,Gender,Hand,Condition,Question,Response
8,828224215,23,f,r,control,Q7,10
8,828224215,23,f,r,control,Q8,0
8,828224215,23,f,r,control,Q9,10
8,828224215,23,f,r,control,Q10,0
8,828224215,23,f,r,control,Q11,10
8,828224215,23,f,r,control,Q12,0
8,828224215,23,f,r,control,Q13,2.25
8,828224215,23,f,r,control,2Q1,0
8,828224215,23,f,r,control,2Q2,10
8,828224215,23,f,r,control,2Q3,5
8,828224215,23,f,r,control,2Q4,7.4
8,828224215,23,f,r,control,2Q5,1.3
8,828224215,23,f,r,control,2Q6,7
10,829000217,19,m,r,control,Q7,8.2
10,829000217,19,m,r,control,Q8,1.6
10,829000217,19,m,r,control,Q9,5.8
10,829000217,19,m,r,control,Q10,1
10,829000217,19,m,r,control,Q11,6.95
10,829000217,19,m,r,control,Q12,1.3
10,829000217,19,m,r,control,Q13,4
10,829000217,19,m,r,control,2Q1,3.2
10,829000217,19,m,r,control,2Q2,6
10,829000217,19,m,r,control,2Q3,7.5
10,829000217,19,m,r,control,2Q4,1.6
10,829000217,19,m,r,control,2Q5,6.4
10,829000217,19,m,r,control,2Q6,2.9
12,829003512,21,m,r,control,Q7,8.3
12,829003512,21,m,r,control,Q8,1.8
12,829003512,21,m,r,control,Q9,9.9
12,829003512,21,m,r,control,Q10,1.5
12,829003512,21,m,r,control,Q11,8.5
12,829003512,21,m,r,control,Q12,1
12,829003512,21,m,r,control,Q13,0.35
12,829003512,21,m,r,control,2Q1,9.6
12,829003512,21,m,r,control,2Q2,0.3
12,829003512,21,m,r,control,2Q3,7.1
12,829003512,21,m,r,control,2Q4,2.2
12,829003512,21,m,r,control,2Q5,8.7
12,829003512,21,m,r,control,2Q6,1.4
14,829013000,40,f,r,control,Q7,10
14,829013000,40,f,r,control,Q8,0
14,829013000,40,f,r,control,Q9,8.6
14,829013000,40,f,r,control,Q10,1
14,829013000,40,f,r,control,Q11,10
14,829013000,40,f,r,control,Q12,0
14,829013000,40,f,r,control,Q13,4.8
14,829013000,40,f,r,control,2Q1,10
14,829013000,40,f,r,control,2Q2,0
14,829013000,40,f,r,control,2Q3,10
14,829013000,40,f,r,control,2Q4,0
14,829013000,40,f,r,control,2Q5,10
14,829013000,40,f,r,control,2Q6,0
16,829022003,18,m,r,control,Q7,10
16,829022003,18,m,r,control,Q8,0
16,829022003,18,m,r,control,Q9,10
16,829022003,18,m,r,control,Q10,0
16,829022003,18,m,r,control,Q11,10
16,829022003,18,m,r,control,Q12,0
16,829022003,18,m,r,control,Q13,9.35
16,829022003,18,m,r,control,2Q1,10
16,829022003,18,m,r,control,2Q2,0
16,829022003,18,m,r,control,2Q3,10
16,829022003,18,m,r,control,2Q4,0
