Participant,ParticipantID,Condition,Trial,Gesture,AttemptNumber,Outcome,GestureLength(ns),IdealGestureLength,Difference,ABSDifference,,,,
7,828222358,Glissando,First,DoubleFlip,0,Correct,3.79E+02,1.01E+03,6.31E+02,6.31E+02,,,,
7,828222358,Glissando,First,DoubleFlip,1,Correct,3.00E+02,1.01E+03,7.10E+02,7.10E+02,,,,
7,828222358,Glissando,First,DoubleFlip,2,NotFarEnough,1.55E+02,1.01E+03,8.55E+02,8.55E+02,,,,
7,828222358,Glissando,First,DoubleFlip,3,Correct,5.15E+02,1.01E+03,4.95E+02,4.95E+02,,,,
7,828222358,Glissando,First,DoubleFlip,4,Correct,3.96E+02,1.01E+03,6.14E+02,6.14E+02,,,,
7,828222358,Glissando,First,DoubleFlip,5,Correct,4.19E+02,1.01E+03,5.91E+02,5.91E+02,,,,
7,828222548,Glissando,First,FlickDown,0,Correct,3.74E+02,1.00E+03,6.30E+02,6.30E+02,,,,
7,828222548,Glissando,First,FlickDown,1,Correct,2.18E+02,1.00E+03,7.86E+02,7.86E+02,,,,
7,828222548,Glissando,First,FlickDown,2,Correct,4.22E+02,1.00E+03,5.82E+02,5.82E+02,,,,
7,828222548,Glissando,First,FlickDown,3,Correct,3.36E+02,1.00E+03,6.68E+02,6.68E+02,,,,
7,828222548,Glissando,First,FlickDown,4,Correct,7.33E+02,1.00E+03,2.71E+02,2.71E+02,,,,
7,828221945,Glissando,First,FlickLeft,0,Correct,5.94E+02,1.01E+03,4.11E+02,4.11E+02,,,,
7,828221945,Glissando,First,FlickLeft,1,Correct,5.52E+02,1.01E+03,4.53E+02,4.53E+02,,,,
7,828221945,Glissando,First,FlickLeft,2,Correct,3.83E+02,1.01E+03,6.22E+02,6.22E+02,,,,
7,828221945,Glissando,First,FlickLeft,3,Correct,4.27E+02,1.01E+03,5.78E+02,5.78E+02,,,,
7,828221945,Glissando,First,FlickLeft,4,Correct,8.62E+02,1.01E+03,1.43E+02,1.43E+02,,,,
7,828222458,Glissando,First,FlickRight,0,Correct,2.84E+02,1.00E+03,7.20E+02,7.20E+02,,,,
7,828222458,Glissando,First,FlickRight,1,Correct,3.98E+02,1.00E+03,6.06E+02,6.06E+02,,,,
7,828222458,Glissando,First,FlickRight,2,Correct,2.88E+02,1.00E+03,7.16E+02,7.16E+02,,,,
7,828222458,Glissando,First,FlickRight,3,Correct,2.13E+02,1.00E+03,7.91E+02,7.91E+02,,,,
7,828222458,Glissando,First,FlickRight,4,Correct,2.04E+02,1.00E+03,8.00E+02,8.00E+02,,,,
7,828222222,Glissando,First,FlickUp,0,Correct,3.30E+02,1.01E+03,6.77E+02,6.77E+02,,,,
7,828222222,Glissando,First,FlickUp,1,Correct,2.78E+02,1.01E+03,7.29E+02,7.29E+02,,,,
7,828222222,Glissando,First,FlickUp,2,Correct,1.94E+02,1.01E+03,8.13E+02,8.13E+02,,,,
7,828222222,Glissando,First,FlickUp,3,Correct,2.29E+02,1.01E+03,7.78E+02,7.78E+02,,,,
7,828222222,Glissando,First,FlickUp,4,Correct,1.94E+02,1.01E+03,8.13E+02,8.13E+02,,,,
7,904233425,Glissando,Return,DoubleFlip,0,Incorrect,3.89E+03,1.01E+03,-2.88E+03,2.88E+03,,,,
7,904233425,Glissando,Return,DoubleFlip,1,Aborted,3.89E+03,1.01E+03,-2.88E+03,2.88E+03,,,,
7,904233425,Glissando,Return,DoubleFlip,2,Incorrect,3.04E+03,1.01E+03,-2.03E+03,2.03E+03,,,,
7,904233425,Glissando,Return,DoubleFlip,3,Incorrect,9.61E+02,1.01E+03,4.87E+01,4.87E+01,,,,
7,904233425,Glissando,Return,DoubleFlip,4,Aborted,9.61E+02,1.01E+03,4.87E+01,4.87E+01,,,,
7,904233425,Glissando,Return,DoubleFlip,5,Incorrect,1.14E+03,1.01E+03,-1.27E+02,1.27E+02,,,,
7,904233425,Glissando,Return,DoubleFlip,6,Incorrect,5.82E+02,1.01E+03,4.28E+02,4.28E+02,,,,
7,904233425,Glissando,Return,DoubleFlip,7,Incorrect,4.13E+03,1.01E+03,-3.12E+03,3.12E+03,,,,
7,904233425,Glissando,Return,DoubleFlip,8,Correct,1.71E+03,1.01E+03,-6.95E+02,6.95E+02,,,,
7,904233425,Glissando,Return,DoubleFlip,9,Correct,4.29E+02,1.01E+03,5.81E+02,5.81E+02,,,,
7,904233425,Glissando,Return,DoubleFlip,10,Correct,3.73E+02,1.01E+03,6.37E+02,6.37E+02,,,,
7,904233425,Glissando,Return,DoubleFlip,11,Correct,5.07E+02,1.01E+03,5.03E+02,5.03E+02,,,,
7,904233425,Glissando,Return,DoubleFlip,12,Correct,3.00E+02,1.01E+03,7.10E+02,7.10E+02,,,,
7,904233712,Glissando,Return,FlickDown,0,Correct,2.52E+02,1.00E+03,7.52E+02,7.52E+02,,,,
7,904233712,Glissando,Return,FlickDown,1,Correct,2.62E+02,1.00E+03,7.42E+02,7.42E+02,,,,
7,904233712,Glissando,Return,FlickDown,2,Correct,2.27E+02,1.00E+03,7.77E+02,7.77E+02,,,,
7,904233712,Glissando,Return,FlickDown,3,Correct,3.16E+02,1.00E+03,6.88E+02,6.88E+02,,,,
