ParticipantID,Condition,Participated,Question,Answer,Group,LongQuestion
10_13_10_31_15,Silenzio,no,Q1,7.62,Control,Audio feedback helped me learn the movement of the gesture
10_13_10_31_15,Silenzio,no,Q2,6.31,Control,Audio feedback did not help me learn the movement of the gesture
10_13_10_31_15,Silenzio,no,Q3,0.85,Control,Audio feedback helped me learn the timing of the gesture
10_13_10_31_15,Silenzio,no,Q4,8.38,Control,Audio feedback did not help me learn the timing of the gesture
10_13_15_29_56,GlissandoM,no,Q1,5.46,Glissando,Audio feedback helped me learn the movement of the gesture
10_13_15_29_56,GlissandoM,no,Q2,2.77,Glissando,Audio feedback did not help me learn the movement of the gesture
10_13_15_29_56,GlissandoM,no,Q3,6.62,Glissando,Audio feedback helped me learn the timing of the gesture
10_13_15_29_56,GlissandoM,no,Q4,7.15,Glissando,Audio feedback did not help me learn the timing of the gesture
10_13_15_5_39,GlissandoS,no,Q1,9.15,Glissando,Audio feedback helped me learn the movement of the gesture
10_13_15_5_39,GlissandoS,no,Q2,6.31,Glissando,Audio feedback did not help me learn the movement of the gesture
10_13_15_5_39,GlissandoS,no,Q3,2,Glissando,Audio feedback helped me learn the timing of the gesture
10_13_15_5_39,GlissandoS,no,Q4,9.54,Glissando,Audio feedback did not help me learn the timing of the gesture
10_14_15_42_19,GlissandoF,no,Q1,7.08,Glissando,Audio feedback helped me learn the movement of the gesture
10_14_15_42_19,GlissandoF,no,Q2,7.15,Glissando,Audio feedback did not help me learn the movement of the gesture
10_14_15_42_19,GlissandoF,no,Q3,1.69,Glissando,Audio feedback helped me learn the timing of the gesture
10_14_15_42_19,GlissandoF,no,Q4,8.77,Glissando,Audio feedback did not help me learn the timing of the gesture
10_14_17_50_47,Silenzio,no,Q1,5.54,Control,Audio feedback helped me learn the movement of the gesture
10_14_17_50_47,Silenzio,no,Q2,6.46,Control,Audio feedback did not help me learn the movement of the gesture
10_14_17_50_47,Silenzio,no,Q3,3.15,Control,Audio feedback helped me learn the timing of the gesture
10_14_17_50_47,Silenzio,no,Q4,7.31,Control,Audio feedback did not help me learn the timing of the gesture
10_15_14_27_13,GlissandoS,no,Q1,8.69,Glissando,Audio feedback helped me learn the movement of the gesture
10_15_14_27_13,GlissandoS,no,Q2,8.92,Glissando,Audio feedback did not help me learn the movement of the gesture
10_15_14_27_13,GlissandoS,no,Q3,4.54,Glissando,Audio feedback helped me learn the timing of the gesture
10_15_14_27_13,GlissandoS,no,Q4,9.08,Glissando,Audio feedback did not help me learn the timing of the gesture
10_15_14_43_39,GlissandoM,no,Q1,5.08,Glissando,Audio feedback helped me learn the movement of the gesture
10_15_14_43_39,GlissandoM,no,Q2,5.15,Glissando,Audio feedback did not help me learn the movement of the gesture
10_15_14_43_39,GlissandoM,no,Q3,5,Glissando,Audio feedback helped me learn the timing of the gesture
10_15_14_43_39,GlissandoM,no,Q4,7.92,Glissando,Audio feedback did not help me learn the timing of the gesture
10_15_15_17_56,GlissandoF,yes,Q1,2.77,Glissando,Audio feedback helped me learn the movement of the gesture
10_15_15_17_56,GlissandoF,yes,Q2,2.69,Glissando,Audio feedback did not help me learn the movement of the gesture
10_15_15_17_56,GlissandoF,yes,Q3,0,Glissando,Audio feedback helped me learn the timing of the gesture
10_15_15_17_56,GlissandoF,yes,Q4,10,Glissando,Audio feedback did not help me learn the timing of the gesture
10_15_15_43_24,GlissandoF,yes,Q1,7.15,Glissando,Audio feedback helped me learn the movement of the gesture
10_15_15_43_24,GlissandoF,yes,Q2,6.31,Glissando,Audio feedback did not help me learn the movement of the gesture
10_15_15_43_24,GlissandoF,yes,Q3,2.54,Glissando,Audio feedback helped me learn the timing of the gesture
10_15_15_43_24,GlissandoF,yes,Q4,8.08,Glissando,Audio feedback did not help me learn the timing of the gesture
10_15_16_14_50,GlissandoM,no,Q1,7.85,Glissando,Audio feedback helped me learn the movement of the gesture
10_15_16_14_50,GlissandoM,no,Q2,8.38,Glissando,Audio feedback did not help me learn the movement of the gesture
10_15_16_14_50,GlissandoM,no,Q3,1.69,Glissando,Audio feedback helped me learn the timing of the gesture
10_15_16_14_50,GlissandoM,no,Q4,9.85,Glissando,Audio feedback did not help me learn the timing of the gesture
10_15_16_23_26,GlissandoF,no,Q1,9.62,Glissando,Audio feedback helped me learn the movement of the gesture
10_15_16_23_26,GlissandoF,no,Q2,9.62,Glissando,Audio feedback did not help me learn the movement of the gesture
10_15_16_23_26,GlissandoF,no,Q3,0.38,Glissando,Audio feedback helped me learn the timing of the gesture
10_15_16_23_26,GlissandoF,no,Q4,9.54,Glissando,Audio feedback did not help me learn the timing of the gesture
10_15_16_37_53,GlissandoF,yes,Q1,7.15,Glissando,Audio feedback helped me learn the movement of the gesture
10_15_16_37_53,GlissandoF,yes,Q2,6.69,Glissando,Audio feedback did not help me learn the movement of the gesture
10_15_16_37_53,GlissandoF,yes,Q3,3.08,Glissando,Audio feedback helped me learn the timing of the gesture
10_15_16_37_53,GlissandoF,yes,Q4,6.85,Glissando,Audio feedback did not help me learn the timing of the gesture
10_15_16_5_44,GlissandoS,no,Q1,6.46,Glissando,Audio feedback helped me learn the movement of the gesture
10_15_16_5_44,GlissandoS,no,Q2,7.54,Glissando,Audio feedback did not help me learn the movement of the gesture
10_15_16_5_44,GlissandoS,no,Q3,2.23,Glissando,Audio feedback helped me learn the timing of the gesture
10_15_16_5_44,GlissandoS,no,Q4,8.46,Glissando,Audio feedback did not help me learn the timing of the gesture
10_15_16_57_39,Silenzio,no,Q1,9.9,Control,Audio feedback helped me learn the movement of the gesture
10_15_16_57_39,Silenzio,no,Q2,9.6,Control,Audio feedback did not help me learn the movement of the gesture
10_15_16_57_39,Silenzio,no,Q3,2.3,Control,Audio feedback helped me learn the timing of the gesture
10_15_16_57_39,Silenzio,no,Q4,10.5,Control,Audio feedback did not help me learn the timing of the gesture
10_18_13_17_57,GlissandoM,no,Q1,7.77,Glissando,Audio feedback helped me learn the movement of the gesture
10_18_13_17_57,GlissandoM,no,Q2,8.77,Glissando,Audio feedback did not help me learn the movement of the gesture
10_18_13_17_57,GlissandoM,no,Q3,2.31,Glissando,Audio feedback helped me learn the timing of the gesture
10_18_13_17_57,GlissandoM,no,Q4,6.31,Glissando,Audio feedback did not help me learn the timing of the gesture
10_18_13_37_33,GlissandoF,no,Q1,7.54,Glissando,Audio feedback helped me learn the movement of the gesture
10_18_13_37_33,GlissandoF,no,Q2,7.77,Glissando,Audio feedback did not help me learn the movement of the gesture
10_18_13_37_33,GlissandoF,no,Q3,2.46,Glissando,Audio feedback helped me learn the timing of the gesture
10_18_13_37_33,GlissandoF,no,Q4,7.92,Glissando,Audio feedback did not help me learn the timing of the gesture
10_18_14_18_43,GlissandoM,no,Q1,7.54,Glissando,Audio feedback helped me learn the movement of the gesture
10_18_14_18_43,GlissandoM,no,Q2,6.23,Glissando,Audio feedback did not help me learn the movement of the gesture
10_18_14_18_43,GlissandoM,no,Q3,2.92,Glissando,Audio feedback helped me learn the timing of the gesture
10_18_14_18_43,GlissandoM,no,Q4,7.69,Glissando,Audio feedback did not help me learn the timing of the gesture
10_18_14_42_28,GlissandoF,no,Q1,7.69,Glissando,Audio feedback helped me learn the movement of the gesture
10_18_14_42_28,GlissandoF,no,Q2,1.77,Glissando,Audio feedback did not help me learn the movement of the gesture
10_18_14_42_28,GlissandoF,no,Q3,8.15,Glissando,Audio feedback helped me learn the timing of the gesture
10_18_14_42_28,GlissandoF,no,Q4,4.69,Glissando,Audio feedback did not help me learn the timing of the gesture
10_18_15_1_45,GlissandoM,yes,Q1,2.85,Glissando,Audio feedback helped me learn the movement of the gesture
10_18_15_1_45,GlissandoM,yes,Q2,2.08,Glissando,Audio feedback did not help me learn the movement of the gesture
10_18_15_1_45,GlissandoM,yes,Q3,6.62,Glissando,Audio feedback helped me learn the timing of the gesture
10_18_15_1_45,GlissandoM,yes,Q4,7.62,Glissando,Audio feedback did not help me learn the timing of the gesture
10_18_15_39_31,Silenzio,no,Q1,7.15,Control,Audio feedback helped me learn the movement of the gesture
10_18_15_39_31,Silenzio,no,Q2,7.38,Control,Audio feedback did not help me learn the movement of the gesture
10_18_15_39_31,Silenzio,no,Q3,2.08,Control,Audio feedback helped me learn the timing of the gesture
10_18_15_39_31,Silenzio,no,Q4,6.92,Control,Audio feedback did not help me learn the timing of the gesture
10_19_14_59_6,Silenzio,no,Q1,5.92,Control,Audio feedback helped me learn the movement of the gesture
10_19_14_59_6,Silenzio,no,Q2,7.08,Control,Audio feedback did not help me learn the movement of the gesture
10_19_14_59_6,Silenzio,no,Q3,2.08,Control,Audio feedback helped me learn the timing of the gesture
10_19_14_59_6,Silenzio,no,Q4,0.92,Control,Audio feedback did not help me learn the timing of the gesture
10_19_15_10_21,GlissandoM,yes,Q1,5,Glissando,Audio feedback helped me learn the movement of the gesture
10_19_15_10_21,GlissandoM,yes,Q2,7,Glissando,Audio feedback did not help me learn the movement of the gesture
10_19_15_10_21,GlissandoM,yes,Q3,3,Glissando,Audio feedback helped me learn the timing of the gesture
10_19_15_10_21,GlissandoM,yes,Q4,7,Glissando,Audio feedback did not help me learn the timing of the gesture
