NID,FID,Group,GestureF,IncorrectF,CorrectF,ERF,RID,GestureR,IncorrectR,CorrectR,RatioR,IncorrectT,CorrectT,ERT
7,828222358,Glissando,DFR,1,5,0.166666667,904233425,DFR,8,5,0.384615385,9,10,0.473684211
7,828222548,Glissando,FD,0,5,0,904233712,FD,0,5,1,0,10,0
7,828221945,Glissando,FL,0,5,0,904233155,FL,0,5,1,0,10,0
7,828222458,Glissando,FR,0,5,0,904233626,FR,0,5,1,0,10,0
7,828222222,Glissando,FU,0,5,0,904233339,FU,0,5,1,0,10,0
8,828224215,Control,DFL,0,5,0,904235459,DFR,8,5,0.384615385,0,10,0
8,828224803,Control,FD,1,5,0.166666667,904235813,FD,4,5,0.555555556,5,10,0.333333333
8,828224459,Control,FL,0,5,0,904235225,FL,0,5,1,1,10,0.090909091
8,828224711,Control,FR,0,5,0,904235726,FR,0,5,1,0,10,0
8,828224620,Control,FU,0,5,0,904235404,FU,1,5,0.833333333,8,10,0.444444444
9,828233757,Glissando,DFL,0,5,0,904232131,DFL,0,5,1,0,10,0
9,828233956,Glissando,FD,1,5,0.166666667,904232325,FD,0,5,1,1,10,0.090909091
9,828233427,Glissando,FL,0,5,0,904231909,FL,0,5,1,0,10,0
9,828233855,Glissando,FR,2,5,0.285714286,904232235,FR,1,5,0.833333333,3,10,0.230769231
9,828233702,Glissando,FU,0,5,0,904232036,FU,0,5,1,0,10,0
10,829000540,Control,DFR,0,5,0,905015939,DFR,1,5,0.833333333,1,10,0.090909091
10,829000724,Control,FD,0,5,0,905020110,FD,0,5,1,0,10,0
10,829000217,Control,FL,1,5,0.166666667,905015701,FL,1,5,0.833333333,2,10,0.166666667
10,829000638,Control,FR,0,5,0,905020029,FR,0,5,1,0,10,0
10,829000427,Control,FU,2,5,0.285714286,905015853,FU,0,5,1,2,10,0.166666667
11,829002529,Glissando,DFR,1,5,0.166666667,905003434,DFR,0,5,1,2,10,0.166666667
11,829002629,Glissando,FD,0,5,0,905003639,FD,1,5,0.833333333,1,10,0.090909091
11,829002156,Glissando,FL,0,5,0,905003224,FL,1,5,0.833333333,1,10,0.090909091
11,829002328,Glissando,FR,0,5,0,905003538,FR,1,5,0.833333333,1,10,0.090909091
11,829002429,Glissando,FU,0,5,0,905003328,FU,1,5,0.833333333,0,10,0
12,829003804,Control,DFR,0,5,0,905004427,DFR,0,5,1,0,10,0
12,829003952,Control,FD,0,5,0,905004614,FD,0,5,1,0,10,0
12,829003512,Control,FL,2,5,0.285714286,905004250,FL,0,5,1,2,10,0.166666667
12,829003900,Control,FR,0,5,0,905004518,FR,2,5,0.714285714,2,10,0.166666667
12,829003654,Control,FU,0,5,0,905004341,FU,0,5,1,0,10,0
13,829005719,Glissando,DFR,2,5,0.285714286,903004319,DFR,7,5,0.416666667,9,10,0.473684211
13,829005918,Glissando,FD,2,5,0.285714286,903004546,FD,0,5,1,2,10,0.166666667
13,829005450,Glissando,FL,2,5,0.285714286,903004002,FL,7,5,0.416666667,9,10,0.473684211
13,829005831,Glissando,FR,0,5,0,903004453,FR,0,5,1,0,10,0
13,829005631,Glissando,FU,0,5,0,903004230,FU,0,5,1,0,10,0
14,829013346,Control,DFR,0,5,0,904222818,DFR,4,5,0.555555556,4,10,0.285714286
14,829013541,Control,FD,0,5,0,904223254,FD,1,5,0.833333333,1,10,0.090909091
14,829013000,Control,FL,0,5,0,904222535,FL,0,5,1,0,10,0
14,829013446,Control,FR,0,5,0,904223203,FR,0,5,1,0,10,0
14,829013230,Control,FU,0,5,0,904222724,FU,0,5,1,0,10,0
15,829021228,Glissando,DFR,0,5,0,904005726,DFR,0,5,1,0,10,0
15,829021438,Glissando,FD,0,5,0,904005851,FD,0,5,1,0,10,0
15,829020757,Glissando,FL,0,5,0,904005455,FL,1,5,0.833333333,1,10,0.090909091
15,829021340,Glissando,FR,1,5,0.166666667,904005811,FR,0,5,1,1,10,0.090909091
15,829021128,Control,FU,0,5,0,904005642,FU,0,5,1,0,10,0
16,829022443,Control,DFR,1,5,0.166666667,904012112,DFR,2,5,0.714285714,3,10,0.230769231
16,829022717,Control,FD,0,5,0,904012243,FD,0,5,1,0,10,0
16,829022003,Control,FL,1,5,0.166666667,904011859,FL,0,5,1,1,10,0.090909091
16,829022558,Control,FR,1,5,0.166666667,904012204,FR,0,5,1,1,10,0.090909091
16,829022228,Control,FU,0,5,0,904012024,FU,0,5,1,0,10,0
17,829025345,Glissando,DFR,1,5,0.166666667,904223936,DFR,0,5,1,1,10,0.090909091
17,829025616,Glissando,FD,1,5,0.166666667,904224106,FD,0,5,1,1,10,0.090909091
17,829024939,Glissando,FL,0,5,0,904223719,FL,0,5,1,0,10,0
17,829025459,Glissando,FR,0,5,0,904224020,FR,0,5,1,0,10,0
