Participant, ParticipantID, Condition, Gesture, Attempt Number, Outcome, Gesture Length (ns), Ideal Gesture Length, Difference,Diff,,Participant, ParticipantID, Condition, Gesture, Attempt Number, Outcome, Gesture Length (ns), Ideal Gesture Length, Difference,Diff
8,828224215, Control, Double Flip Right,0, Correct,940107967,1010000000,69892033,,,7,904233425, Return, Double Flip Right,8, Correct,1705047655,1010000000,-695047655,
8,828224215, Control, Double Flip Right,1, Correct,539096406,1010000000,470903594,,,7,904233425, Return, Double Flip Right,9, Correct,429375677,1010000000,580624323,
8,828224215, Control, Double Flip Right,2, Correct,805911511,1010000000,204088489,,,7,904233425, Return, Double Flip Right,10, Correct,373318489,1010000000,636681511,
8,828224215, Control, Double Flip Right,3, Correct,1151457291,1010000000,-141457291,,,7,904233425, Return, Double Flip Right,11, Correct,507203386,1010000000,502796614,
8,828224215, Control, Double Flip Right,4, Correct,741722500,1010000000,268277500,198385467,,7,904233425, Return, Double Flip Right,12, Correct,300365052,1010000000,709634948,1404682603
8,828224803, Control, Flick Down,0, Correct,81555209,1004000000,922444791,,,7,904233712, Return, Flick Down,0, Correct,252471251,1004000000,751528749,
8,828224803, Control, Flick Down,1, Correct,289802083,1004000000,714197917,,,7,904233712, Return, Flick Down,1, Correct,261867656,1004000000,742132344,
8,828224803, Control, Flick Down,2, Correct,145852812,1004000000,858147188,,,7,904233712, Return, Flick Down,2, Correct,227118543,1004000000,776881457,
8,828224803, Control, Flick Down,4, Correct,190505729,1004000000,813494271,,,7,904233712, Return, Flick Down,3, Correct,316417239,1004000000,687582761,
8,828224803, Control, Flick Down,5, Correct,451768489,1004000000,552231511,-370213280,,7,904233712, Return, Flick Down,4, Correct,202103333,1004000000,801896667,50367918
8,828224459, Control, Flick Left,0, Correct,476305052,1005000000,528694948,,,7,904233155, Return, Flick Left,0, Correct,359016874,1005000000,645983126,
8,828224459, Control, Flick Left,1, Correct,342686199,1005000000,662313801,,,7,904233155, Return, Flick Left,1, Correct,184965730,1005000000,820034270,
8,828224459, Control, Flick Left,2, Correct,427296354,1005000000,577703646,,,7,904233155, Return, Flick Left,2, Correct,105887239,1005000000,899112761,
8,828224459, Control, Flick Left,3, Correct,587905676,1005000000,417094324,,,7,904233155, Return, Flick Left,3, Correct,130098073,1005000000,874901927,
8,828224459, Control, Flick Left,4, Correct,264984687,1005000000,740015313,211320365,,7,904233155, Return, Flick Left,5, Correct,219820313,1005000000,785179687,139196561
8,828224711, Control, Flick Right,0, Correct,330093438,1004000000,673906562,,,7,904233626, Return, Flick Right,0, Correct,325665364,1004000000,678334636,
