Participant,Condition,Question,Answer
11_2_14_52_20,GlissandoF,Answer1,8.9
11_2_14_52_20,GlissandoF,Answer2,8.8
11_2_14_52_20,GlissandoF,Answer3,1
11_2_14_52_20,GlissandoF,Answer4,1
11_2_14_52_20,GlissandoF,Answer5,4.9
11_2_14_52_20,GlissandoF,Answer6,4.9
10_30_21_36_59,Silenzio,Answer1,3.5
10_30_21_36_59,Silenzio,Answer2,1.8
10_30_21_36_59,Silenzio,Answer3,6.9
10_30_21_36_59,Silenzio,Answer4,6.5
10_30_21_36_59,Silenzio,Answer5,4.2
10_30_21_36_59,Silenzio,Answer6,1.5
10_30_21_26_1,GlissandoS,Answer1,9.1
10_30_21_26_1,GlissandoS,Answer2,9
10_30_21_26_1,GlissandoS,Answer3,0.5
10_30_21_26_1,GlissandoS,Answer4,9.1
10_30_21_26_1,GlissandoS,Answer5,0.6
10_30_21_26_1,GlissandoS,Answer6,6.3
10_30_20_58_57,GlissandoF,Answer1,10
10_30_20_58_57,GlissandoF,Answer2,10
10_30_20_58_57,GlissandoF,Answer3,0
10_30_20_58_57,GlissandoF,Answer4,10
10_30_20_58_57,GlissandoF,Answer5,0
10_30_20_58_57,GlissandoF,Answer6,10
10_22_16_5_13,Silenzio,Answer1,9.7
10_22_16_5_13,Silenzio,Answer2,9.7
10_22_16_5_13,Silenzio,Answer3,0.3
10_22_16_5_13,Silenzio,Answer4,0.7
10_22_16_5_13,Silenzio,Answer5,9.2
10_22_16_5_13,Silenzio,Answer6,0.2
10_22_15_44_45,GlissandoF,Answer1,9.1
10_22_15_44_45,GlissandoF,Answer2,6.8
10_22_15_44_45,GlissandoF,Answer3,0.8
10_22_15_44_45,GlissandoF,Answer4,8.2
10_22_15_44_45,GlissandoF,Answer5,0.8
10_22_15_44_45,GlissandoF,Answer6,5.8
10_22_15_33_52,GlissandoM,Answer1,8.4
10_22_15_33_52,GlissandoM,Answer2,7.7
10_22_15_33_52,GlissandoM,Answer3,0.8
10_22_15_33_52,GlissandoM,Answer4,8.1
10_22_15_33_52,GlissandoM,Answer5,8.2
10_22_15_33_52,GlissandoM,Answer6,5
10_22_15_2_52,GlissandoF,Answer1,2.5
10_22_15_2_52,GlissandoF,Answer2,2.1
10_22_15_2_52,GlissandoF,Answer3,3.6
10_22_15_2_52,GlissandoF,Answer4,6.1
10_22_15_2_52,GlissandoF,Answer5,1.8
10_22_15_2_52,GlissandoF,Answer6,0.8
