Participant,Condition,Trial,Gesture,X-Val,GestureLength(ns),IdealGestureLength,Difference,ABSDifference,,Slope
8,Control,First,DoubleFlip,0,9.40E+02,1.01E+03,6.99E+01,6.99E+01,,6.62
8,Control,First,DoubleFlip,1,5.39E+02,1.01E+03,4.71E+02,4.71E+02,,6.62
8,Control,First,DoubleFlip,2,8.06E+02,1.01E+03,2.04E+02,2.04E+02,,6.62
8,Control,First,DoubleFlip,3,1.15E+03,1.01E+03,-1.41E+02,1.41E+02,,6.62
8,Control,First,DoubleFlip,4,7.42E+02,1.01E+03,2.68E+02,2.68E+02,,6.62
10,Control,First,DoubleFlip,0,3.77E+02,1.01E+03,6.33E+02,6.33E+02,,31.6
10,Control,First,DoubleFlip,1,4.53E+02,1.01E+03,5.57E+02,5.57E+02,,31.6
10,Control,First,DoubleFlip,2,4.17E+02,1.01E+03,5.93E+02,5.93E+02,,31.6
10,Control,First,DoubleFlip,3,2.77E+02,1.01E+03,7.33E+02,7.33E+02,,31.6
10,Control,First,DoubleFlip,4,3.07E+02,1.01E+03,7.03E+02,7.03E+02,,31.6
12,Control,First,DoubleFlip,0,1.48E+02,1.01E+03,8.62E+02,8.62E+02,,9.6
12,Control,First,DoubleFlip,1,1.23E+02,1.01E+03,8.87E+02,8.87E+02,,9.6
12,Control,First,DoubleFlip,2,1.84E+02,1.01E+03,8.26E+02,8.26E+02,,9.6
12,Control,First,DoubleFlip,3,5.50E+01,1.01E+03,9.55E+02,9.55E+02,,9.6
12,Control,First,DoubleFlip,4,1.34E+02,1.01E+03,8.76E+02,8.76E+02,,9.6
14,Control,First,DoubleFlip,0,5.31E+02,1.01E+03,4.79E+02,4.79E+02,,34.3
14,Control,First,DoubleFlip,1,5.72E+02,1.01E+03,4.38E+02,4.38E+02,,34.3
14,Control,First,DoubleFlip,2,5.55E+02,1.01E+03,4.55E+02,4.55E+02,,34.3
14,Control,First,DoubleFlip,3,4.31E+02,1.01E+03,5.79E+02,5.79E+02,,34.3
14,Control,First,DoubleFlip,4,4.30E+02,1.01E+03,5.80E+02,5.80E+02,,34.3
16,Control,First,DoubleFlip,0,4.17E+02,1.01E+03,5.93E+02,5.93E+02,,53.6
16,Control,First,DoubleFlip,1,4.32E+02,1.01E+03,5.78E+02,5.78E+02,,53.6
16,Control,First,DoubleFlip,2,4.20E+02,1.01E+03,5.90E+02,5.90E+02,,53.6
16,Control,First,DoubleFlip,3,3.70E+02,1.01E+03,6.40E+02,6.40E+02,,53.6
16,Control,First,DoubleFlip,4,1.80E+02,1.01E+03,8.30E+02,8.30E+02,,53.6
20,Control,First,DoubleFlip,0,2.62E+02,1.01E+03,7.48E+02,7.48E+02,,-25.1
20,Control,First,DoubleFlip,1,3.74E+02,1.01E+03,6.36E+02,6.36E+02,,-25.1
20,Control,First,DoubleFlip,2,3.69E+02,1.01E+03,6.41E+02,6.41E+02,,-25.1
20,Control,First,DoubleFlip,3,3.79E+02,1.01E+03,6.31E+02,6.31E+02,,-25.1
20,Control,First,DoubleFlip,4,3.85E+02,1.01E+03,6.25E+02,6.25E+02,,-25.1
22,Control,First,DoubleFlip,0,1.35E+03,1.01E+03,-3.37E+02,3.37E+02,,-43.44
22,Control,First,DoubleFlip,1,1.28E+03,1.01E+03,-2.66E+02,2.66E+02,,-43.44
22,Control,First,DoubleFlip,2,1.43E+03,1.01E+03,-4.19E+02,4.19E+02,,-43.44
22,Control,First,DoubleFlip,3,1.35E+03,1.01E+03,-3.43E+02,3.43E+02,,-43.44
22,Control,First,DoubleFlip,4,9.29E+02,1.01E+03,8.13E+01,8.13E+01,,-43.44
24,Control,First,DoubleFlip,0,4.68E+02,1.01E+03,5.42E+02,5.42E+02,,38.9
24,Control,First,DoubleFlip,1,3.29E+02,1.01E+03,6.81E+02,6.81E+02,,38.9
24,Control,First,DoubleFlip,2,1.86E+02,1.01E+03,8.24E+02,8.24E+02,,38.9
24,Control,First,DoubleFlip,3,2.70E+02,1.01E+03,7.40E+02,7.40E+02,,38.9
24,Control,First,DoubleFlip,4,3.03E+02,1.01E+03,7.07E+02,7.07E+02,,38.9
26,Control,First,DoubleFlip,0,1.88E+02,1.01E+03,8.22E+02,8.22E+02,,3
26,Control,First,DoubleFlip,1,3.18E+02,1.01E+03,6.92E+02,6.92E+02,,3
26,Control,First,DoubleFlip,2,2.48E+02,1.01E+03,7.62E+02,7.62E+02,,3
26,Control,First,DoubleFlip,3,1.58E+02,1.01E+03,8.52E+02,8.52E+02,,3
26,Control,First,DoubleFlip,4,2.53E+02,1.01E+03,7.57E+02,7.57E+02,,3
28,Control,First,DoubleFlip,0,4.65E+02,1.01E+03,5.45E+02,5.45E+02,,16.3
28,Control,First,DoubleFlip,1,3.82E+02,1.01E+03,6.28E+02,6.28E+02,,16.3
