ParticipantID,Condition,X-val,Length,IdealGestureLength,Difference,ABSDifference,Slope,Slope Direction
10_13_15_29_56,GlissandoM,0,3588463298,2.00E+09,-1.59E+09,1588463298,-373221424.8,-1.00E+00
10_13_15_29_56,GlissandoM,1,3486250572,2.00E+09,-1.49E+09,1486250572,-373221424.8,-1.00E+00
10_13_15_29_56,GlissandoM,2,2221761024,2.00E+09,-2.22E+08,221761024,-373221424.8,-1.00E+00
10_13_15_29_56,GlissandoM,3,2236990692,2.00E+09,-2.37E+08,236990692,-373221424.8,-1.00E+00
10_13_15_29_56,GlissandoM,4,2346986114,2.00E+09,-3.47E+08,346986114,-373221424.8,-1.00E+00
10_13_15_5_39,GlissandoS,0,2645841599,5.00E+08,-2.15E+09,2145841599,-114735235.9,-1.00E+00
10_13_15_5_39,GlissandoS,1,2028567069,5.00E+08,-1.53E+09,1528567069,-114735235.9,-1.00E+00
10_13_15_5_39,GlissandoS,2,2699313292,5.00E+08,-2.20E+09,2199313292,-114735235.9,-1.00E+00
10_13_15_5_39,GlissandoS,3,2296627498,5.00E+08,-1.80E+09,1796627498,-114735235.9,-1.00E+00
10_13_15_5_39,GlissandoS,4,1938135205,5.00E+08,-1.44E+09,1438135205,-114735235.9,-1.00E+00
10_14_15_42_19,GlissandoF,0,1197009003,5.00E+08,-6.97E+08,697009003,-65542499.6,-1.00E+00
10_14_15_42_19,GlissandoF,1,1039371280,5.00E+08,-5.39E+08,539371280,-65542499.6,-1.00E+00
10_14_15_42_19,GlissandoF,2,950618038,5.00E+08,-4.51E+08,450618038,-65542499.6,-1.00E+00
10_14_15_42_19,GlissandoF,3,988127576,5.00E+08,-4.88E+08,488127576,-65542499.6,-1.00E+00
10_14_15_42_19,GlissandoF,4,894918357,5.00E+08,-3.95E+08,394918357,-65542499.6,-1.00E+00
10_15_14_27_13,GlissandoS,0,6396490157,5.00E+08,-5.90E+09,5896490157,42640012.3,1.00E+00
10_15_14_27_13,GlissandoS,1,6543628871,5.00E+08,-6.04E+09,6043628871,42640012.3,1.00E+00
10_15_14_27_13,GlissandoS,2,6773569357,5.00E+08,-6.27E+09,6273569357,42640012.3,1.00E+00
10_15_14_27_13,GlissandoS,3,6607263848,5.00E+08,-6.11E+09,6107263848,42640012.3,1.00E+00
10_15_14_27_13,GlissandoS,4,6577872730,5.00E+08,-6.08E+09,6077872730,42640012.3,1.00E+00
10_15_14_43_39,GlissandoM,0,2114390355,2.00E+09,-1.14E+08,114390355,-9116435.3,-1.00E+00
10_15_14_43_39,GlissandoM,1,1715916374,2.00E+09,2.84E+08,284083626,-9116435.3,-1.00E+00
10_15_14_43_39,GlissandoM,2,2279414009,2.00E+09,-2.79E+08,279414009,-9116435.3,-1.00E+00
10_15_14_43_39,GlissandoM,3,1680054937,2.00E+09,3.20E+08,319945063,-9116435.3,-1.00E+00
10_15_14_43_39,GlissandoM,4,2050877460,2.00E+09,-5.09E+07,50877460,-9116435.3,-1.00E+00
10_15_16_14_50,GlissandoM,0,2216908287,2.00E+09,-2.17E+08,216908287,21419196.7,1.00E+00
10_15_16_14_50,GlissandoM,1,2586723639,2.00E+09,-5.87E+08,586723639,21419196.7,1.00E+00
10_15_16_14_50,GlissandoM,2,1975949947,2.00E+09,2.41E+07,24050053,21419196.7,1.00E+00
10_15_16_14_50,GlissandoM,3,1725804976,2.00E+09,2.74E+08,274195024,21419196.7,1.00E+00
10_15_16_14_50,GlissandoM,4,1519731422,2.00E+09,4.80E+08,480268578,21419196.7,1.00E+00
10_15_16_23_26,GlissandoF,0,1209247673,5.00E+08,-7.09E+08,709247673,-74301846.7,-1.00E+00
10_15_16_23_26,GlissandoF,1,974912255,5.00E+08,-4.75E+08,474912255,-74301846.7,-1.00E+00
10_15_16_23_26,GlissandoF,2,1323149701,5.00E+08,-8.23E+08,823149701,-74301846.7,-1.00E+00
10_15_16_23_26,GlissandoF,3,1013337402,5.00E+08,-5.13E+08,513337402,-74301846.7,-1.00E+00
10_15_16_23_26,GlissandoF,4,818525866,5.00E+08,-3.19E+08,318525866,-74301846.7,-1.00E+00
10_15_16_5_44,GlissandoS,0,8231435983,5.00E+08,-7.73E+09,7731435983,-183183274.8,-1.00E+00
10_15_16_5_44,GlissandoS,1,6460613458,5.00E+08,-5.96E+09,5960613458,-183183274.8,-1.00E+00
10_15_16_5_44,GlissandoS,2,7174790171,5.00E+08,-6.67E+09,6674790171,-183183274.8,-1.00E+00
10_15_16_5_44,GlissandoS,3,6625118266,5.00E+08,-6.13E+09,6125118266,-183183274.8,-1.00E+00
10_15_16_5_44,GlissandoS,4,7233267205,5.00E+08,-6.73E+09,6733267205,-183183274.8,-1.00E+00
10_15_16_57_39,GlissandoS,0,4075751563,5.00E+08,-3.58E+09,3575751563,392302762,1.00E+00
10_15_16_57_39,GlissandoS,1,5017213490,5.00E+08,-4.52E+09,4517213490,392302762,1.00E+00
10_15_16_57_39,GlissandoS,2,4811231497,5.00E+08,-4.31E+09,4311231497,392302762,1.00E+00
10_15_16_57_39,GlissandoS,3,4900442544,5.00E+08,-4.40E+09,4400442544,392302762,1.00E+00
10_15_16_57_39,GlissandoS,4,6095650846,5.00E+08,-5.60E+09,5595650846,392302762,1.00E+00
10_18_13_17_57,GlissandoM,0,1801312376,2.00E+09,1.99E+08,198687624,100811842.3,1.00E+00
10_18_13_17_57,GlissandoM,1,2064489547,2.00E+09,-6.45E+07,64489547,100811842.3,1.00E+00
10_18_13_17_57,GlissandoM,2,1652708683,2.00E+09,3.47E+08,347291317,100811842.3,1.00E+00
10_18_13_17_57,GlissandoM,3,1530352508,2.00E+09,4.70E+08,469647492,100811842.3,1.00E+00
10_18_13_17_57,GlissandoM,4,1499832137,2.00E+09,5.00E+08,500167863,100811842.3,1.00E+00
10_18_13_37_33,GlissandoF,0,1113444225,5.00E+08,-6.13E+08,613444225,-68570120.6,-1.00E+00
10_18_13_37_33,GlissandoF,1,944208760,5.00E+08,-4.44E+08,444208760,-68570120.6,-1.00E+00
10_18_13_37_33,GlissandoF,2,1215717992,5.00E+08,-7.16E+08,715717992,-68570120.6,-1.00E+00
10_18_13_37_33,GlissandoF,3,1081580956,5.00E+08,-5.82E+08,581580956,-68570120.6,-1.00E+00
10_18_13_37_33,GlissandoF,4,701907524,5.00E+08,-2.02E+08,201907524,-68570120.6,-1.00E+00
10_18_14_18_43,GlissandoM,0,3026766367,2.00E+09,-1.03E+09,1026766367,-104886311.6,-1.00E+00
10_18_14_18_43,GlissandoM,1,1947321837,2.00E+09,5.27E+07,52678163,-104886311.6,-1.00E+00
10_18_14_18_43,GlissandoM,2,2227041049,2.00E+09,-2.27E+08,227041049,-104886311.6,-1.00E+00
10_18_14_18_43,GlissandoM,3,1693209217,2.00E+09,3.07E+08,306790783,-104886311.6,-1.00E+00
10_18_14_18_43,GlissandoM,4,1624721501,2.00E+09,3.75E+08,375278499,-104886311.6,-1.00E+00
10_18_14_42_28,GlissandoF,0,1530474591,5.00E+08,-1.03E+09,1030474591,-83769265.6,-1.00E+00
10_18_14_42_28,GlissandoF,1,947199756,5.00E+08,-4.47E+08,447199756,-83769265.6,-1.00E+00
10_18_14_42_28,GlissandoF,2,924462079,5.00E+08,-4.24E+08,424462079,-83769265.6,-1.00E+00
10_18_14_42_28,GlissandoF,3,800549366,5.00E+08,-3.01E+08,300549366,-83769265.6,-1.00E+00
10_18_14_42_28,GlissandoF,4,1184953458,5.00E+08,-6.85E+08,684953458,-83769265.6,-1.00E+00
10_18_15_39_31,GlissandoS,0,6900106821,5.00E+08,-6.40E+09,6400106821,-808637265.6,-1.00E+00
10_18_15_39_31,GlissandoS,1,5071509232,5.00E+08,-4.57E+09,4571509232,-808637265.6,-1.00E+00
10_18_15_39_31,GlissandoS,2,3727300474,5.00E+08,-3.23E+09,3227300474,-808637265.6,-1.00E+00
10_18_15_39_31,GlissandoS,3,3720067144,5.00E+08,-3.22E+09,3220067144,-808637265.6,-1.00E+00
10_18_15_39_31,GlissandoS,4,3532641537,5.00E+08,-3.03E+09,3032641537,-808637265.6,-1.00E+00
10_19_14_59_6,GlissandoS,0,4166763315,5.00E+08,-3.67E+09,3666763315,-586140699,-1.00E+00
10_19_14_59_6,GlissandoS,1,1900473065,5.00E+08,-1.40E+09,1400473065,-586140699,-1.00E+00
10_19_14_59_6,GlissandoS,2,1959896232,5.00E+08,-1.46E+09,1459896232,-586140699,-1.00E+00
10_19_14_59_6,GlissandoS,3,1570761483,5.00E+08,-1.07E+09,1070761483,-586140699,-1.00E+00
10_19_14_59_6,GlissandoS,4,1400915611,5.00E+08,-9.01E+08,900915611,-586140699,-1.00E+00
10_19_15_23_29,GlissandoM,0,1638699833,2.00E+09,3.61E+08,361300167,-93880664.74,-1.00E+00
10_19_15_23_29,GlissandoM,1,2163192430,2.00E+09,-1.63E+08,163192430,-93880664.74,-1.00E+00
10_19_15_23_29,GlissandoM,2,1887654510,2.00E+09,1.12E+08,112345490,-93880664.74,-1.00E+00
10_19_15_23_29,GlissandoM,3,1853013885,2.00E+09,1.47E+08,146986115,-93880664.74,-1.00E+00
10_19_16_18_53,GlissandoF,0,938867694,5.00E+08,-4.39E+08,438867694,38773081.3,1.00E+00
10_19_16_18_53,GlissandoF,1,923912710,5.00E+08,-4.24E+08,423912710,38773081.3,1.00E+00
10_19_16_18_53,GlissandoF,2,1092812450,5.00E+08,-5.93E+08,592812450,38773081.3,1.00E+00
10_19_16_18_53,GlissandoF,3,1073706697,5.00E+08,-5.74E+08,573706697,38773081.3,1.00E+00
10_19_16_18_53,GlissandoF,4,1057836107,5.00E+08,-5.58E+08,557836107,38773081.3,1.00E+00
10_19_17_15_56,GlissandoS,0,13779642911,5.00E+08,-1.33E+10,13279642911,-2254991607,-1.00E+00
10_19_17_15_56,GlissandoS,1,3710758430,5.00E+08,-3.21E+09,3210758430,-2254991607,-1.00E+00
10_19_17_15_56,GlissandoS,2,3737005950,5.00E+08,-3.24E+09,3237005950,-2254991607,-1.00E+00
